"id","backup_id","details","description","status_name","communication_name","status_id","communication_id","created_at","updated_at","task_time","backup_account"
"28","232","client wants to cancel account","Client wants to cancel his backup account - has tons of video and is using externals for backup","","","8","2","2016-08-26 21:31:16","2016-09-06 19:34:43","15",""
"29","220","over quota","started manual cleanup - to remove program folders - will contact on Monday ","","","7","1","2016-08-26 22:53:24","2016-09-06 19:35:05","15",""
"30","255","over quota","started manual file version removal - check back on monday","","","5","1","2016-08-26 22:54:43","2016-09-14 17:46:15","15",""
"31","248","no backup last seven days","While monitoring your backup protection plan, we found that the pc name David-PC has not backed up over the last seven days. We may need to make sure the backup utility program is still running on this system.","","","8","1","2016-08-29 14:00:17","2016-09-14 17:47:18","15",""
"32","208","advanced folder backup c:\vm image - no backup during last 7 days","need to access bio west server after hours - bogs down the system - removed advanced folder backup test - other backup is permission issues with folder re-direction","","","8","1","2016-08-30 14:38:23","2016-09-10 18:46:04","15",""
"33","240","System Owner12683","no backup within last 7 days\nWhile monitoring your backup protection plan, the computer labeled OWNER-12683 has not backed up for the last seven days. The machine is scheduled to back-up on a daily basis. The machine does need to be on for the backup to complete. \n\nI can assist with any questions or changes that need to be made. \n","","","8","1","2016-08-30 16:16:28","2016-09-06 19:35:58","15",""
"34","222","System DTLAPP no backup last 7 days","temporarily increased space to 240 GB of storage. Most related to exchange server and mailboxes. Opened server to verify data - ","","","3","1","2016-08-30 18:00:42","2016-08-30 18:00:42","30",""
"35","219","advanced folder no backup last seven days","schedule a time","","","7","1","2016-08-30 19:31:44","2016-09-06 20:04:25","15",""
"36","227","deactivate device","deactivate device tinaDT last connected on 8-25-2015 no data stored","","","8","1","2016-08-30 20:23:45","2016-09-06 20:04:10","15",""
"37","234","Cirrus4000 system - no backup last 7 days","no longer monitoring this devise","","","8","1","2016-08-30 20:44:48","2016-09-06 20:05:21","15",""
"38","249","no backup last seven days","While monitoring your backup protection plan, your system has not backed up in the last seven days. Also, your subscription will expire on 9-4-2016. \n\nPlease contact me at your earliest convienence,\n\n","","","7","1","2016-08-30 20:51:55","2016-09-06 20:04:57","15",""
"39","236","over quota","need to have at least 20gb of additional space added. Cost $108 for 1 year. sent out 2nd notice - client contacted me via email - sent request for time to call and go over solutions. Client responded with a time on 9-14 at 3:30 pm to call back. does not need the other two pc's on backup only the main laptop will help client with program - so she can setup what she needs before we deactivate the devices.\n\nWent over the logistics of the backup software with client - she will work on removing what she does not need on the online backup to bring her account back to 20gb status. will revisit next week.\n\ntemporary increase to 60gb on account until next week. then resize to 20gb","","","5","1","2016-08-30 21:09:51","2016-09-14 22:11:38","45",""
"40","204","no backup during last seven days windows7server is the client machine","contact us please","","","8","1","2016-08-30 21:40:13","2016-09-06 20:04:41","15",""
"41","222","Over quota - ","Increased space yesterday - today their account jumped 100gb - they are now 150% over quota - sql backup 95GB backing up 2 weeks of info. Mailbox settings are to keep only the last backup - but had two backups - removed one of the backups - but they still remain at almost 240gb used\n\nstarted backup on friday 16th check back in two weeks to see progress","","","5","3","2016-08-31 14:23:39","2016-09-16 22:59:33","45",""
"42","240","logged into client comptuer","logged in and changed backup from daily to once per week - clients information does not change often - also set to automatically do backup even if user not logged on.","","","8","2","2016-08-31 15:05:33","2016-09-06 20:07:06","30",""
"43","258","no backup last 7 days","Your system has not successfully completed a backup in the last week. If the system is off, it will not be able to connect. \n\nIf you have questions please contact me at 208-321-5501 ext 207.\n","","","7","1","2016-08-31 16:29:08","2016-09-06 20:06:25","15",""
"44","221","Access to \ Denied","Access to \* denied. 	\\?\D:\ServerFolders\Users\user\n\\?\D:\ServerFolders\Users\LouisQ\n\\?\D:\ServerFolders\Users\Lana\n\\?\D:\ServerFolders\Users\Diane\n\\?\D:\ServerFolders\Users\Dawn \n\nsent request to Jason \n\nstill having issues with redirect user folder allowing access ","","","5","1","2016-09-02 14:17:32","2016-09-14 20:12:02","15",""
"45","241","Over Quota","setup new retention policy on WCTC SERVER, verifying space.","","","5","1","2016-09-02 16:36:24","2016-09-06 21:10:02","30",""
"46","206","update backup assist with new standards","updated backup assist","","","8","3","2016-09-02 22:14:57","2016-09-06 21:07:51","15",""
"47","225","backup assist already working ","Andrew said backup assist is working correctly","","","8","3","2016-09-02 22:15:42","2016-09-06 21:07:19","0",""
"48","229","backup assist setup","backup assist setup is correct and working","","","8","3","2016-09-02 22:24:37","2016-09-06 21:07:02","15",""
"49","250","backup account setup new policies","backup setup with new policy changes - setup same as before and added new retention policy at 30 days - backup still running as of 9/8/2016 - backup completed with errors - access denied to redirected folders - researching how to change access settings.","","","5","3","2016-09-06 17:37:09","2016-09-08 19:59:02","45",""
"50","220","called left message to return phone call","left message to return phone call regarding over quota on backup account","","","7","2","2016-09-06 17:50:49","2016-09-06 19:31:52","15",""
"51","259","file and folder backup","backup warning access to files denied. will need to schedule time to adjust. sent client email requesting a time. Connected and removed program data from the online backup.","","","8","1","2016-09-08 20:08:01","2016-09-08 23:03:21","30",""
"52","260","Backup Assist - ","Backup assist - BA237 The wrong external hard disk is connected. Email notification to Client and to Jason AM\nSent 2nd Notice \ncustomer replied that they did change out the drive.","","","7","1","2016-09-09 21:44:02","2016-09-19 19:36:58","30",""
"53","208","permissions","permission issues on redirection folder - need to test procedure for fixing - ","","","5","3","2016-09-10 18:45:46","2016-09-10 18:45:46","15",""
"54","209","File and Folder Backup: backup Error","no backup in 3 days - Started manual backup. Burkedt system only backs up ever 4-5 days - sending not to client about leaving system running or changing frequency settings.","","","5","3","2016-09-14 15:57:17","2016-09-14 16:06:34","15",""
"55","238","remove old server from backup plan in 1 week on 9-22-2016","schedule time to remove old server OP011FS001 ","","","8","3","2016-09-14 17:44:42","2016-09-22 14:52:35","30",""
"56","237","over quota","need to check status of what is being backed up - Marg had a new video folder from vacation that was trying to backup - removed it from her backup selection. Then will delete from online cloud backup -100media folder will need to be removed - will check back tomorrow on that one.","","","5","3","2016-09-14 17:55:17","2016-09-14 22:34:39","15",""
"57","207","access denied to Jacquie document and picture folder","sent email offering assistance in resolving permission errors","","","5","1","2016-09-14 18:05:29","2016-09-22 15:15:48","15",""
"58","248","David PC not backing up again","David PC has not backed up since 9-6 - send David an email about issue","","","7","1","2016-09-14 18:27:52","2016-09-14 18:29:36","15",""
"59","225","over quota","over quota, sent Andrew email to find out how to proceed, he is the account manager","","","5","1","2016-09-14 20:14:12","2016-09-14 20:14:12","15",""
"60","261","no backup last 7 days","No backup last 7 days - sent email request for assistance","","","7","1","2016-09-14 20:21:43","2016-09-14 20:24:03","15",""
"61","233","over quota","over quota notification - sent email to request attention","","","7","1","2016-09-14 20:26:36","2016-09-14 20:26:36","15",""
